,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,161.1,2.09,162.2,157.9,129.637,"20.861,46",22/10/2021,Cierre
1,ACERINOX,11.59,0.87,11.705,11.51,1.763.108,"20.412,03",22/10/2021,Cierre
2,ACS,23.06,0.04,23.31,22.94,663.622,"15.341,15",22/10/2021,Cierre
3,AENA,141.95,0.67,142.7,139.05,112.822,"15.973,28",22/10/2021,Cierre
4,ALMIRALL,12.71,-0.31,12.84,12.68,151.317,"1.929,52",22/10/2021,Cierre
5,AMADEUS,55.4,-1.74,56.58,55.08,1.039.819,"57.803,09",22/10/2021,Cierre
6,ARCELORMIT.,27.215,0.91,27.695,27.13,290.096,"7.948,16",22/10/2021,Cierre
7,B.SANTANDER,3.282,-0.95,3.342,3.282,91.151.051,"301.455,21",22/10/2021,Cierre
8,BA.SABADELL,0.654,1.18,0.6612,0.642,15.083.508,"9.866,95",22/10/2021,Cierre
9,BANKINTER,4.722,-1.32,4.846,4.704,5.937.968,"28.237,46",22/10/2021,Cierre
10,BBVA,5.686,0.44,5.727,5.632,15.533.697,"88.217,73",22/10/2021,Cierre
11,CAIXABANK,2.541,-0.35,2.566,2.5,9.010.999,"22.903,02",22/10/2021,Cierre
12,CELLNEX,54.62,-0.33,55.02,54.34,532.571,"29.086,22",22/10/2021,Cierre
13,CIE AUTOMOT.,23.54,-1.75,24.08,23.54,447.525,"10.674,31",22/10/2021,Cierre
14,ENAGAS,19.485,0.93,19.495,19.15,2.049.696,"39.576,70",22/10/2021,Cierre
15,ENDESA,19.065,-0.05,19.225,18.96,1.722.285,"32.835,29",22/10/2021,Cierre
16,FERROVIAL,27.18,1.34,27.23,26.77,756.678,"20.511,88",22/10/2021,Cierre
17,FLUIDRA,36.9,1.1,37.45,36.4,300.240,"11.087,96",22/10/2021,Cierre
18,GRIFOLS CL.A,20.2,-0.93,20.54,20.15,717.568,"14.547,96",22/10/2021,Cierre
19,IAG,1.8515,-2.76,1.916,1.8325,18.231.759,"33.814,48",22/10/2021,Cierre
20,IBERDROLA,9.716,-0.37,9.82,9.656,13.272.278,"129.025,42",22/10/2021,Cierre
21,INDITEX,30.76,-1.73,31.37,30.76,8.078.406,"251.228,78",22/10/2021,Cierre
22,INDRA A,9.52,0.37,9.56,9.41,306.976,"2.916,11",22/10/2021,Cierre
23,INM.COLONIAL,8.315,-0.18,8.425,8.315,329.215,"2.748,87",22/10/2021,Cierre
24,MAPFRE,1.8125,1.57,1.817,1.776,3.534.684,"6.378,86",22/10/2021,Cierre
25,MELIA HOTELS,6.342,-0.6,6.45,6.216,1.346.052,"8.477,13",22/10/2021,Cierre
26,MERLIN,9.35,-0.02,9.398,9.316,382.739,"3.580,63",22/10/2021,Cierre
27,NATURGY,22.03,-1.12,22.28,21.99,957.556,"21.122,48",22/10/2021,Cierre
28,PHARMA MAR,71.02,-1.0,72.14,71.02,35.785,"2.560,82",22/10/2021,Cierre
29,R.E.C.,17.635,0.17,17.75,17.54,866.021,"15.281,95",22/10/2021,Cierre
30,REPSOL,11.466,0.12,11.57,11.422,3.142.779,"36.098,46",22/10/2021,Cierre
31,SIEMENS GAME,21.92,-0.72,22.49,21.92,652.421,"14.393,67",22/10/2021,Cierre
32,SOLARIA,16.96,1.5,17.18,16.57,1.188.196,"20.146,10",22/10/2021,Cierre
33,TELEFONICA,3.7715,-0.5,3.82,3.7645,11.041.238,"41.793,79",22/10/2021,Cierre
34,VISCOFAN,55.95,-0.8,57.1,55.9,37.977,"2.131,92",22/10/2021,Cierre
