,country,name,symbol,last,high,low,change,change_percentage,turnover,currency
0,spain,ACS,ACS,23.52,23.665,23.36,+0.120,+0.51%,450820,EUR
1,spain,Atresmedia,A3M,3.63,3.664,3.554,+0.042,+1.17%,138310,EUR
2,spain,Acerinox,ACX,11.16,11.277,11.002,0.000,0.00%,773730,EUR
3,spain,BBVA,BBVA,5.57,5.572,5.441,+0.152,+2.81%,17150000,EUR
4,spain,Bankinter,BKT,5.036,5.068,4.965,+0.087,+1.76%,2060000,EUR
5,spain,Acciona,ANA,145.6,146.85,145.35,+1.000,+0.69%,64340,EUR
6,spain,Caixabank,CABK,2.64,2.64,2.598,+0.051,+1.97%,7780000,EUR
7,spain,Enagas,ENAG,19.36,19.375,19.14,+0.120,+0.62%,622030,EUR
8,spain,FCC,FCC,10.74,11.02,10.69,-0.080,-0.74%,37460,EUR
9,spain,Naturgy Energy,NTGY,21.62,21.765,21.545,+0.070,+0.32%,0,EUR
10,spain,Gamesa,SGREN,23.04,23.445,22.52,+0.540,+2.40%,970980,EUR
11,spain,Grifols,GRLS,22.145,22.47,22.09,+0.101,+0.46%,942970,EUR
12,spain,Ferrovial,FER,25.33,25.57,25.285,+0.050,+0.20%,433450,EUR
13,spain,Red Electrica,REE,17.577,17.785,17.545,+0.037,+0.21%,1000000,EUR
14,spain,Inditex,ITX,32.04,32.52,31.995,-0.155,-0.48%,1900000,EUR
15,spain,Repsol,REP,10.705,10.719,10.501,+0.235,+2.24%,6620000,EUR
16,spain,Iberdrola,IBE,9.3,9.418,9.294,+0.046,+0.50%,8710000,EUR
17,spain,Indra A,IDR,9.475,9.5,9.21,+0.155,+1.66%,726550,EUR
18,spain,Mapfre,MAP,1.828,1.831,1.81,+0.027,+1.50%,1800000,EUR
19,spain,Telefonica,TEF,4.072,4.098,4.053,-0.0005,-0.01%,10650000,EUR
20,spain,Mediaset,TL5,4.922,5.04,4.858,+0.070,+1.44%,239360,EUR
21,spain,Sacyr,SCYR,2.172,2.176,2.15,+0.032,+1.50%,1740000,EUR
22,spain,Banco de Sabadell,ACS,0.662,0.6626,0.642,+0.0114,+1.75%,30370000,EUR
23,spain,Santander,SAN,3.083,3.095,3.011,+0.0895,+2.99%,35340000,EUR
24,spain,Inmobiliaria Colonial,COL,8.84,8.93,8.805,+0.085,+0.97%,571860,EUR
25,spain,Tecnicas Reunidas,TRE,8.0,8.0,7.765,+0.245,+3.16%,256620,EUR
26,spain,OHL,OHL,0.608,0.619,0.603,-0.004,-0.57%,1440000,EUR
27,spain,IAG,ICAG,2.01,2.057,1.987,-0.019,-0.94%,14120000,EUR
28,spain,Ebro Foods,EBRO,16.559,16.79,16.509,+0.089,+0.54%,117150,EUR
29,spain,Endesa,ELE,18.22,18.36,18.047,-0.010,-0.05%,1360000,EUR
30,spain,Amadeus,AMA,55.8,57.43,55.62,-0.220,-0.39%,786220,EUR
31,spain,DIA,DIDA,0.0145,0.0154,0.0138,+0.0005,+3.57%,193660000,EUR
32,spain,Vertice 360 Grados,VTSG,3.795,3.75,3.75,0.0000,0.00%,0,EUR
33,spain,Laborat.Rovi,ROVI,58.8,59.9,56.7,+2.300,+4.07%,129850,EUR
34,spain,General Alquiler Maquinaria,GALQ,1.55,1.55,1.51,+0.010,+0.65%,3290,EUR
