,country,name,symbol,last,high,low,change,change_percentage,turnover,currency,G/P,%
0,spain,ACS,ACS,23.56,24.31,23.45,-0.510,-2.12%,935800,EUR,-2.12,%
1,spain,Atresmedia,A3M,3.768,3.876,3.75,-0.082,-2.13%,145000,EUR,-2.13,%
2,spain,Acerinox,ACX,10.745,11.13,10.732,-0.335,-3.02%,873810,EUR,-3.02,%
3,spain,BBVA,BBVA,5.687,5.83,5.684,-0.093,-1.61%,22090000,EUR,-1.61,%
4,spain,Bankinter,BKT,5.114,5.3,5.114,-0.134,-2.55%,2650000,EUR,-2.55,%
5,spain,Acciona,ANA,143.3,149.5,142.2,-5.600,-3.76%,134860,EUR,-3.76,%
6,spain,Caixabank,CABK,2.65,2.778,2.649,-0.101,-3.67%,11770000,EUR,-3.67,%
7,spain,Enagas,ENAG,19.12,19.325,19.075,-0.085,-0.44%,904490,EUR,-0.44,%
8,spain,FCC,FCC,10.8,10.86,10.49,-0.020,-0.18%,135920,EUR,-0.18,%
9,spain,Naturgy Energy,NTGY,21.74,21.815,21.67,+0.040,+0.18%,0,EUR,0.18,%
10,spain,Gamesa,SGREN,22.08,22.93,22.02,-0.930,-4.04%,1250000,EUR,-4.04,%
11,spain,Grifols,GRLS,22.055,22.635,22.024,-0.275,-1.23%,1180000,EUR,-1.23,%
12,spain,Ferrovial,FER,25.4,26.405,25.29,-1.090,-4.11%,1030000,EUR,-4.11,%
13,spain,Red Electrica,REE,17.258,17.383,17.2,-0.147,-0.84%,941450,EUR,-0.84,%
14,spain,Inditex,ITX,31.38,32.255,31.215,-0.805,-2.50%,2630000,EUR,-2.5,%
15,spain,Repsol,REP,11.025,11.22,10.98,+0.042,+0.38%,10410000,EUR,0.38,%
16,spain,Iberdrola,IBE,8.98,9.212,8.98,-0.216,-2.35%,12760000,EUR,-2.35,%
17,spain,Indra A,IDR,9.155,9.525,9.155,-0.365,-3.83%,585640,EUR,-3.83,%
18,spain,Mapfre,MAP,1.855,1.923,1.855,-0.035,-1.83%,4170000,EUR,-1.83,%
19,spain,Telefonica,TEF,4.155,4.259,4.144,-0.0200,-0.48%,10820000,EUR,-0.48,%
20,spain,Mediaset,TL5,4.998,5.14,4.982,-0.017,-0.34%,238860,EUR,-0.34,%
21,spain,Sacyr,SCYR,2.142,2.224,2.138,-0.058,-2.64%,2040000,EUR,-2.64,%
22,spain,Banco de Sabadell,ACS,0.701,0.7308,0.701,-0.0140,-1.96%,39350000,EUR,-1.96,%
23,spain,Santander,SAN,3.08,3.239,3.08,-0.1225,-3.83%,50050000,EUR,-3.83,%
24,spain,Inmobiliaria Colonial,COL,8.46,8.89,8.455,-0.370,-4.19%,638410,EUR,-4.19,%
25,spain,Tecnicas Reunidas,TRE,8.1,8.625,8.05,-0.380,-4.48%,375310,EUR,-4.48,%
26,spain,OHL,OHL,0.611,0.633,0.609,-0.017,-2.63%,1530000,EUR,-2.63,%
27,spain,IAG,ICAG,2.101,2.185,2.096,-0.075,-3.45%,21440000,EUR,-3.45,%
28,spain,Ebro Foods,EBRO,16.54,16.75,16.52,-0.129,-0.77%,66710,EUR,-0.77,%
29,spain,Endesa,ELE,18.045,18.3,17.98,-0.155,-0.85%,1100000,EUR,-0.85,%
30,spain,Amadeus,AMA,57.14,59.79,56.74,-1.790,-3.04%,1270000,EUR,-3.04,%
31,spain,DIA,DIDA,0.0151,0.0168,0.0151,-0.0011,-6.79%,200620000,EUR,-6.79,%
32,spain,Vertice 360 Grados,VTSG,3.685,3.69,3.655,+0.0300,+0.82%,3580,EUR,0.82,%
33,spain,Laborat.Rovi,ROVI,55.1,56.0,54.0,0.000,0.00%,96150,EUR,0.0,%
34,spain,General Alquiler Maquinaria,GALQ,1.55,1.58,1.55,-0.010,-0.64%,12000,EUR,-0.64,%
