,Ticker,Attribute,Recent
0,ORI,zip,60601
1,ORI,sector,Financial Services
2,ORI,fullTimeEmployees,9000
3,ORI,longBusinessSummary,"Old Republic International Corporation, through its subsidiaries, engages in the insurance underwriting and related services business primarily in the United States and Canada. The company operates through three segments: General Insurance, Title Insurance, and the Republic Financial Indemnity Group Run-off Business. The General Insurance segment offers automobile extended warranty, aviation, commercial automobile, commercial multi-peril, general liability, home warranty, inland marine, travel accident, and workers' compensation insurance products; and financial indemnity products for specialty coverages, including errors and omissions, fidelity, guaranteed asset protection, and surety. This segment provides its insurance products to businesses, government, and other institutions in transportation, commercial construction, healthcare, education, retail and wholesale trade, forest products, energy, general manufacturing, and financial services industries. The Title Insurance segment offers lenders' and owners' title insurance policies to real estate purchasers and investors based upon searches of the public records. This segment also provides escrow closing and construction disbursement services; and real estate information products, national default management services, and various other services pertaining to real estate transfers and loan transactions. The Republic Financial Indemnity Group Run-off Business segment offers private mortgage insurance coverage that protects mortgage lenders and investors from default related losses on residential mortgage loans made primarily to homebuyers. Old Republic International Corporation was founded in 1923 and is based in Chicago, Illinois."
4,ORI,city,Chicago
5,ORI,phone,312 346 8100
6,ORI,state,IL
7,ORI,country,United States
8,ORI,companyOfficers,[]
9,ORI,website,http://www.oldrepublic.com
10,ORI,maxAge,1
11,ORI,address1,307 North Michigan Avenue
12,ORI,fax,312 726 0309
13,ORI,industry,Insurance—Diversified
14,ORI,ebitdaMargins,0.22895999
15,ORI,profitMargins,0.17633
16,ORI,grossMargins,0.72471
17,ORI,operatingCashflow,1262099968
18,ORI,revenueGrowth,0.112
19,ORI,operatingMargins,0.22596
20,ORI,ebitda,2056850048
21,ORI,targetLowPrice,28
22,ORI,recommendationKey,buy
23,ORI,grossProfits,4674600000
24,ORI,freeCashflow,1922862464
25,ORI,targetMedianPrice,28
26,ORI,currentPrice,22.905
27,ORI,earningsGrowth,-0.214
28,ORI,currentRatio,0.508
29,ORI,returnOnAssets,0.054770004
30,ORI,numberOfAnalystOpinions,1
31,ORI,targetMeanPrice,28
32,ORI,debtToEquity,23.458
33,ORI,returnOnEquity,0.2507
34,ORI,targetHighPrice,28
35,ORI,totalCash,743299968
36,ORI,totalDebt,1590099968
37,ORI,totalRevenue,8983600128
38,ORI,totalCashPerShare,2.478
39,ORI,financialCurrency,USD
40,ORI,revenuePerShare,30.059
41,ORI,quickRatio,0.168
42,ORI,recommendationMean,2.3
43,ORI,exchange,NYQ
44,ORI,shortName,Old Republic International Corp
45,ORI,longName,Old Republic International Corporation
46,ORI,exchangeTimezoneName,America/New_York
47,ORI,exchangeTimezoneShortName,EDT
48,ORI,isEsgPopulated,False
49,ORI,gmtOffSetMilliseconds,-14400000
50,ORI,quoteType,EQUITY
51,ORI,symbol,ORI
52,ORI,messageBoardId,finmb_293614
53,ORI,market,us_market
54,ORI,annualHoldingsTurnover,
55,ORI,enterpriseToRevenue,0.872
56,ORI,beta3Year,
57,ORI,enterpriseToEbitda,3.806
58,ORI,52WeekChange,0.5879946
59,ORI,morningStarRiskRating,
60,ORI,forwardEps,2.37
61,ORI,revenueQuarterlyGrowth,
62,ORI,sharesOutstanding,305737984
