,country,name,symbol,last,high,low,change,change_percentage,turnover,currency
0,spain,ACS,ACS,23.4,23.49,23.105,+0.670,+2.95%,342480,EUR
1,spain,Atresmedia,A3M,3.588,3.59,3.452,+0.118,+3.40%,316740,EUR
2,spain,Acerinox,ACX,11.16,11.205,10.942,+0.220,+2.01%,839400,EUR
3,spain,BBVA,BBVA,5.418,5.46,5.29,+0.137,+2.59%,18440000,EUR
4,spain,Bankinter,BKT,4.949,4.97,4.888,+0.067,+1.37%,1530000,EUR
5,spain,Acciona,ANA,144.6,146.8,143.4,0.000,0.00%,78430,EUR
6,spain,Caixabank,CABK,2.59,2.593,2.524,+0.080,+3.19%,9390000,EUR
7,spain,Enagas,ENAG,19.24,19.33,19.075,+0.100,+0.52%,564470,EUR
8,spain,FCC,FCC,10.82,10.95,10.78,+0.120,+1.12%,43260,EUR
9,spain,Naturgy Energy,NTGY,21.55,21.595,21.405,+0.060,+0.28%,0,EUR
10,spain,Gamesa,SGREN,22.5,22.7,22.25,+0.230,+1.03%,605330,EUR
11,spain,Grifols,GRLS,22.044,22.47,21.75,-0.186,-0.84%,792800,EUR
12,spain,Ferrovial,FER,25.28,25.575,25.175,+0.090,+0.36%,557530,EUR
13,spain,Red Electrica,REE,17.54,17.808,17.448,-0.195,-1.10%,1050000,EUR
14,spain,Inditex,ITX,32.195,32.635,31.945,-0.105,-0.33%,2480000,EUR
15,spain,Repsol,REP,10.47,10.625,10.36,+0.255,+2.50%,6060000,EUR
16,spain,Iberdrola,IBE,9.254,9.408,9.242,-0.080,-0.86%,13140000,EUR
17,spain,Indra A,IDR,9.32,9.39,9.27,+0.095,+1.03%,482790,EUR
18,spain,Mapfre,MAP,1.801,1.809,1.785,+0.027,+1.52%,2530000,EUR
19,spain,Telefonica,TEF,4.072,4.119,4.062,+0.021,+0.51%,11290000,EUR
20,spain,Mediaset,TL5,4.852,4.868,4.71,+0.166,+3.54%,312710,EUR
21,spain,Sacyr,SCYR,2.14,2.158,2.098,+0.038,+1.81%,1370000,EUR
22,spain,Banco de Sabadell,ACS,0.65,0.655,0.623,+0.034,+5.52%,47410000,EUR
23,spain,Santander,SAN,2.994,2.997,2.915,+0.094,+3.24%,31930000,EUR
24,spain,Inmobiliaria Colonial,COL,8.755,8.955,8.755,-0.105,-1.19%,540810,EUR
25,spain,Tecnicas Reunidas,TRE,7.755,7.775,7.55,+0.260,+3.47%,254010,EUR
26,spain,OHL,OHL,0.611,0.615,0.596,+0.021,+3.56%,1840000,EUR
27,spain,IAG,ICAG,2.029,2.039,1.99,+0.034,+1.68%,14330000,EUR
28,spain,Ebro Foods,EBRO,16.47,16.829,16.419,-0.140,-0.84%,122930,EUR
29,spain,Endesa,ELE,18.23,18.412,18.133,-0.145,-0.79%,1280000,EUR
30,spain,Amadeus,AMA,56.02,56.91,55.539,-0.469,-0.83%,794500,EUR
31,spain,DIA,DIDA,0.014,0.0161,0.0138,-0.0018,-11.39%,411360000,EUR
32,spain,Vertice 360 Grados,VTSG,3.745,3.8,3.745,-0.0500,-1.32%,350,EUR
33,spain,Laborat.Rovi,ROVI,56.5,57.0,56.0,0.000,0.00%,62750,EUR
34,spain,General Alquiler Maquinaria,GALQ,1.54,1.54,1.535,+0.030,+1.99%,2650,EUR
